Timezone (use this),label,utc
Europe/San_Marino,Europe/San_Marino(UTC+01:00),UTC+01:00
Europe/Stockholm,Europe/Stockholm(UTC+01:00),UTC+01:00
Europe/Vaduz,Europe/Vaduz(UTC+01:00),UTC+01:00
Europe/Vatican,Europe/Vatican(UTC+01:00),UTC+01:00
Europe/Vienna,Europe/Vienna(UTC+01:00),UTC+01:00
Europe/Zurich,Europe/Zurich(UTC+01:00),UTC+01:00
Europe/Belgrade,Europe/Belgrade(UTC+01:00),UTC+01:00
Europe/Bratislava,Europe/Bratislava(UTC+01:00),UTC+01:00
Europe/Budapest,Europe/Budapest(UTC+01:00),UTC+01:00
Europe/Ljubljana,Europe/Ljubljana(UTC+01:00),UTC+01:00
Europe/Podgorica,Europe/Podgorica(UTC+01:00),UTC+01:00
Europe/Prague,Europe/Prague(UTC+01:00),UTC+01:00
Europe/Tirane,Europe/Tirane(UTC+01:00),UTC+01:00
Africa/Ceuta,Africa/Ceuta(UTC+01:00),UTC+01:00
Europe/Brussels,Europe/Brussels(UTC+01:00),UTC+01:00
Europe/Copenhagen,Europe/Copenhagen(UTC+01:00),UTC+01:00
Europe/Madrid,Europe/Madrid(UTC+01:00),UTC+01:00
Europe/Paris,Europe/Paris(UTC+01:00),UTC+01:00
Europe/Sarajevo,Europe/Sarajevo(UTC+01:00),UTC+01:00
Europe/Skopje,Europe/Skopje(UTC+01:00),UTC+01:00
Europe/Warsaw,Europe/Warsaw(UTC+01:00),UTC+01:00
Europe/Zagreb,Europe/Zagreb(UTC+01:00),UTC+01:00
Africa/Algiers,Africa/Algiers(UTC+01:00),UTC+01:00
Africa/Bangui,Africa/Bangui(UTC+01:00),UTC+01:00
Africa/Brazzaville,Africa/Brazzaville(UTC+01:00),UTC+01:00
Africa/Douala,Africa/Douala(UTC+01:00),UTC+01:00
Africa/Kinshasa,Africa/Kinshasa(UTC+01:00),UTC+01:00
Africa/Lagos,Africa/Lagos(UTC+01:00),UTC+01:00
Africa/Libreville,Africa/Libreville(UTC+01:00),UTC+01:00
Africa/Luanda,Africa/Luanda(UTC+01:00),UTC+01:00
Africa/Malabo,Africa/Malabo(UTC+01:00),UTC+01:00
Africa/Ndjamena,Africa/Ndjamena(UTC+01:00),UTC+01:00
Africa/Niamey,Africa/Niamey(UTC+01:00),UTC+01:00
Africa/Porto-Novo,Africa/Porto-Novo(UTC+01:00),UTC+01:00
Africa/Tunis,Africa/Tunis(UTC+01:00),UTC+01:00
Etc/GMT-1,Etc/GMT-1(UTC+01:00),UTC+01:00
Africa/Windhoek,Africa/Windhoek(UTC+01:00),UTC+01:00
Asia/Nicosia,Asia/Nicosia(UTC+02:00),UTC+02:00
Europe/Athens,Europe/Athens(UTC+02:00),UTC+02:00
Europe/Bucharest,Europe/Bucharest(UTC+02:00),UTC+02:00
Europe/Chisinau,Europe/Chisinau(UTC+02:00),UTC+02:00
Asia/Beirut,Asia/Beirut(UTC+02:00),UTC+02:00
Africa/Cairo,Africa/Cairo(UTC+02:00),UTC+02:00
Asia/Damascus,Asia/Damascus(UTC+02:00),UTC+02:00
Asia/Nicosia,Asia/Nicosia(UTC+02:00),UTC+02:00
Europe/Athens,Europe/Athens(UTC+02:00),UTC+02:00
Europe/Bucharest,Europe/Bucharest(UTC+02:00),UTC+02:00
Europe/Chisinau,Europe/Chisinau(UTC+02:00),UTC+02:00
Europe/Helsinki,Europe/Helsinki(UTC+02:00),UTC+02:00
Europe/Kiev,Europe/Kiev(UTC+02:00),UTC+02:00
Europe/Mariehamn,Europe/Mariehamn(UTC+02:00),UTC+02:00
Europe/Nicosia,Europe/Nicosia(UTC+02:00),UTC+02:00
Europe/Riga,Europe/Riga(UTC+02:00),UTC+02:00
Europe/Sofia,Europe/Sofia(UTC+02:00),UTC+02:00
Europe/Tallinn,Europe/Tallinn(UTC+02:00),UTC+02:00
Europe/Uzhgorod,Europe/Uzhgorod(UTC+02:00),UTC+02:00
Europe/Vilnius,Europe/Vilnius(UTC+02:00),UTC+02:00
Europe/Zaporozhye,Europe/Zaporozhye(UTC+02:00),UTC+02:00
Africa/Blantyre,Africa/Blantyre(UTC+02:00),UTC+02:00
Africa/Bujumbura,Africa/Bujumbura(UTC+02:00),UTC+02:00
Africa/Gaborone,Africa/Gaborone(UTC+02:00),UTC+02:00
Africa/Harare,Africa/Harare(UTC+02:00),UTC+02:00
Africa/Johannesburg,Africa/Johannesburg(UTC+02:00),UTC+02:00
Africa/Kigali,Africa/Kigali(UTC+02:00),UTC+02:00
Africa/Lubumbashi,Africa/Lubumbashi(UTC+02:00),UTC+02:00
Africa/Lusaka,Africa/Lusaka(UTC+02:00),UTC+02:00
Africa/Maputo,Africa/Maputo(UTC+02:00),UTC+02:00
Africa/Maseru,Africa/Maseru(UTC+02:00),UTC+02:00
Africa/Mbabane,Africa/Mbabane(UTC+02:00),UTC+02:00
Etc/GMT-2,Etc/GMT-2(UTC+02:00),UTC+02:00
Europe/Helsinki,Europe/Helsinki(UTC+02:00),UTC+02:00
Europe/Kiev,Europe/Kiev(UTC+02:00),UTC+02:00
Europe/Mariehamn,Europe/Mariehamn(UTC+02:00),UTC+02:00
Europe/Riga,Europe/Riga(UTC+02:00),UTC+02:00
Europe/Sofia,Europe/Sofia(UTC+02:00),UTC+02:00
Europe/Tallinn,Europe/Tallinn(UTC+02:00),UTC+02:00
Europe/Uzhgorod,Europe/Uzhgorod(UTC+02:00),UTC+02:00
Europe/Vilnius,Europe/Vilnius(UTC+02:00),UTC+02:00
Europe/Zaporozhye,Europe/Zaporozhye(UTC+02:00),UTC+02:00
Europe/Istanbul,Europe/Istanbul(UTC+03:00),UTC+03:00
Asia/Jerusalem,Asia/Jerusalem(UTC+02:00),UTC+02:00
Africa/Tripoli,Africa/Tripoli(UTC+02:00),UTC+02:00
Asia/Amman,Asia/Amman(UTC+03:00),UTC+03:00
Asia/Baghdad,Asia/Baghdad(UTC+03:00),UTC+03:00
Europe/Kaliningrad,Europe/Kaliningrad(UTC+02:00),UTC+02:00
Asia/Aden,Asia/Aden(UTC+03:00),UTC+03:00
Asia/Bahrain,Asia/Bahrain(UTC+03:00),UTC+03:00
Asia/Kuwait,Asia/Kuwait(UTC+03:00),UTC+03:00
Asia/Qatar,Asia/Qatar(UTC+03:00),UTC+03:00
Asia/Riyadh,Asia/Riyadh(UTC+03:00),UTC+03:00
Africa/Addis_Ababa,Africa/Addis_Ababa(UTC+03:00),UTC+03:00
Africa/Asmera,Africa/Asmera(UTC+03:00),UTC+03:00
Africa/Dar_es_Salaam,Africa/Dar_es_Salaam(UTC+03:00),UTC+03:00
Africa/Djibouti,Africa/Djibouti(UTC+03:00),UTC+03:00
Africa/Juba,Africa/Juba(UTC+03:00),UTC+03:00
Africa/Kampala,Africa/Kampala(UTC+03:00),UTC+03:00
Africa/Khartoum,Africa/Khartoum(UTC+03:00),UTC+03:00
Africa/Mogadishu,Africa/Mogadishu(UTC+03:00),UTC+03:00
Africa/Nairobi,Africa/Nairobi(UTC+03:00),UTC+03:00
Antarctica/Syowa,Antarctica/Syowa(UTC+03:00),UTC+03:00
Etc/GMT-3,Etc/GMT-3(UTC+03:00),UTC+03:00
Indian/Antananarivo,Indian/Antananarivo(UTC+03:00),UTC+03:00
Indian/Comoro,Indian/Comoro(UTC+03:00),UTC+03:00
Indian/Mayotte,Indian/Mayotte(UTC+03:00),UTC+03:00
Europe/Kirov,Europe/Kirov(UTC+03:00),UTC+03:00
Europe/Moscow,Europe/Moscow(UTC+03:00),UTC+03:00
Europe/Simferopol,Europe/Simferopol(UTC+03:00),UTC+03:00
Europe/Volgograd,Europe/Volgograd(UTC+03:00),UTC+03:00
Europe/Minsk,Europe/Minsk(UTC+03:00),UTC+03:00
Europe/Astrakhan,Europe/Astrakhan(UTC+04:00),UTC+04:00
Europe/Samara,Europe/Samara(UTC+04:00),UTC+04:00
Europe/Ulyanovsk,Europe/Ulyanovsk(UTC+04:00),UTC+04:00
Asia/Tehran,Asia/Tehran(UTC+03:30),UTC+03:30
Asia/Dubai,Asia/Dubai(UTC+04:00),UTC+04:00
Asia/Muscat,Asia/Muscat(UTC+04:00),UTC+04:00
Etc/GMT-4,Etc/GMT-4(UTC+04:00),UTC+04:00
Asia/Baku,Asia/Baku(UTC+04:00),UTC+04:00
Indian/Mahe,Indian/Mahe(UTC+04:00),UTC+04:00
Indian/Mauritius,Indian/Mauritius(UTC+04:00),UTC+04:00
Indian/Reunion,Indian/Reunion(UTC+04:00),UTC+04:00
Asia/Tbilisi,Asia/Tbilisi(UTC+04:00),UTC+04:00
Asia/Yerevan,Asia/Yerevan(UTC+04:00),UTC+04:00
Asia/Kabul,Asia/Kabul(UTC+04:30),UTC+04:30
Antarctica/Mawson,Antarctica/Mawson(UTC+05:00),UTC+05:00
Asia/Aqtau,Asia/Aqtau(UTC+05:00),UTC+05:00
Asia/Aqtobe,Asia/Aqtobe(UTC+05:00),UTC+05:00
Asia/Ashgabat,Asia/Ashgabat(UTC+05:00),UTC+05:00
Asia/Dushanbe,Asia/Dushanbe(UTC+05:00),UTC+05:00
Asia/Oral,Asia/Oral(UTC+05:00),UTC+05:00
Asia/Samarkand,Asia/Samarkand(UTC+05:00),UTC+05:00
Asia/Tashkent,Asia/Tashkent(UTC+05:00),UTC+05:00
Etc/GMT-5,Etc/GMT-5(UTC+05:00),UTC+05:00
Indian/Kerguelen,Indian/Kerguelen(UTC+05:00),UTC+05:00
Indian/Maldives,Indian/Maldives(UTC+05:00),UTC+05:00
Asia/Yekaterinburg,Asia/Yekaterinburg(UTC+05:00),UTC+05:00
Asia/Karachi,Asia/Karachi(UTC+05:00),UTC+05:00
Asia/Kolkata,Asia/Kolkata(UTC+05:30),UTC+05:30
Asia/Calcutta,Asia/Calcutta(UTC+05:30),UTC+05:30
Asia/Colombo,Asia/Colombo(UTC+05:30),UTC+05:30
Asia/Kathmandu,Asia/Kathmandu(UTC+05:45),UTC+05:45
Antarctica/Vostok,Antarctica/Vostok(UTC+06:00),UTC+06:00
Asia/Almaty,Asia/Almaty(UTC+06:00),UTC+06:00
Asia/Bishkek,Asia/Bishkek(UTC+06:00),UTC+06:00
Asia/Qyzylorda,Asia/Qyzylorda(UTC+06:00),UTC+06:00
Asia/Urumqi,Asia/Urumqi(UTC+06:00),UTC+06:00
Etc/GMT-6,Etc/GMT-6(UTC+06:00),UTC+06:00
Indian/Chagos,Indian/Chagos(UTC+06:00),UTC+06:00
Asia/Dhaka,Asia/Dhaka(UTC+06:00),UTC+06:00
Asia/Thimphu,Asia/Thimphu(UTC+06:00),UTC+06:00
Asia/Rangoon,Asia/Rangoon(UTC+06:30),UTC+06:30
Indian/Cocos,Indian/Cocos(UTC+06:30),UTC+06:30
Antarctica/Davis,Antarctica/Davis(UTC+07:00),UTC+07:00
Asia/Bangkok,Asia/Bangkok(UTC+07:00),UTC+07:00
Asia/Hovd,Asia/Hovd(UTC+07:00),UTC+07:00
Asia/Jakarta,Asia/Jakarta(UTC+07:00),UTC+07:00
Asia/Phnom_Penh,Asia/Phnom_Penh(UTC+07:00),UTC+07:00
Asia/Pontianak,Asia/Pontianak(UTC+07:00),UTC+07:00
Asia/Saigon,Asia/Saigon(UTC+07:00),UTC+07:00
Asia/Vientiane,Asia/Vientiane(UTC+07:00),UTC+07:00
Etc/GMT-7,Etc/GMT-7(UTC+07:00),UTC+07:00
Indian/Christmas,Indian/Christmas(UTC+07:00),UTC+07:00
Asia/Novokuznetsk,Asia/Novokuznetsk(UTC+07:00),UTC+07:00
Asia/Novosibirsk,Asia/Novosibirsk(UTC+07:00),UTC+07:00
Asia/Omsk,Asia/Omsk(UTC+07:00),UTC+07:00
Asia/Hong_Kong,Asia/Hong_Kong(UTC+08:00),UTC+08:00
Asia/Macau,Asia/Macau(UTC+08:00),UTC+08:00
Asia/Shanghai,Asia/Shanghai(UTC+08:00),UTC+08:00
Asia/Krasnoyarsk,Asia/Krasnoyarsk(UTC+08:00),UTC+08:00
Asia/Brunei,Asia/Brunei(UTC+08:00),UTC+08:00
Asia/Kuala_Lumpur,Asia/Kuala_Lumpur(UTC+08:00),UTC+08:00
Asia/Kuching,Asia/Kuching(UTC+08:00),UTC+08:00
Asia/Makassar,Asia/Makassar(UTC+08:00),UTC+08:00
Asia/Manila,Asia/Manila(UTC+08:00),UTC+08:00
Asia/Singapore,Asia/Singapore(UTC+08:00),UTC+08:00
Etc/GMT-8,Etc/GMT-8(UTC+08:00),UTC+08:00
Antarctica/Casey,Antarctica/Casey(UTC+08:00),UTC+08:00
Australia/Perth,Australia/Perth(UTC+08:00),UTC+08:00
